,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-02-24 10:13:00,2021-02-24,10:13 AM,2033.83,2031.985,2033.725,110,223709.705,4,2033.755,2032.62,2033.214,1300,2643178.5,7,2033.08,2031.985,2032.785,2032.62,-0.0014636378544571453,-0.0002011188897844416
2021-02-24 10:14:00,2021-02-24,10:14 AM,2035.73,2032.92,2034.291,250,508572.65,8,2035.59,2033.05,2034.133,300,610240.0,3,2035.01,2035.59,2033.76,2035.59,-0.0011857381477738877,0.0002507839456969118
2021-02-24 10:15:00,2021-02-24,10:15 AM,2039.69,2036.33,2038.753,615,1253833.325,13,2040.92,2038.24,2039.455,1100,2243400.07,11,2036.33,2038.43,2039.271,2038.49,0.001005054239541704,0.002867788179028207
2021-02-24 10:16:00,2021-02-24,10:16 AM,2041.79,2039.01,2039.43,248,505778.77,10,2041.92,2039.0,2040.596,2367,4830090.42,10,2041.745,2040.05,2041.78,2039.0,0.0013374537120233161,0.003428855790871738
2021-02-24 10:17:00,2021-02-24,10:17 AM,2040.18,2038.55,2039.209,116,236548.22,4,2038.95,2038.95,2038.95,100,203895.0,1,2039.77,2040.18,2038.95,2038.95,0.0012289451693077728,0.0026194628994656325
2021-02-24 10:18:00,2021-02-24,10:18 AM,2041.635,2041.5,2041.536,71,144949.065,2,2042.036,2041.64,2041.904,300,612571.18,2,2041.5,2041.635,2042.036,2041.64,0.002371476295547887,0.004072042851600296
2021-02-24 10:19:00,2021-02-24,10:19 AM,2042.35,2040.77,2040.861,208,424499.205,10,2042.07,2040.73,2041.238,300,612371.5,3,2040.78,2041.83,2040.73,2042.07,0.0020400588008284946,0.0037445485225137643
2021-02-24 10:20:00,2021-02-24,10:20 AM,2041.67,2039.76,2040.142,395,805856.05,10,2041.115,2039.11,2039.985,572,1166871.42,5,2041.67,2039.97,2039.11,2040.21,0.00168703779534216,0.003128406789262244
2021-02-24 10:21:00,2021-02-24,10:21 AM,2039.76,2037.95,2039.017,56,114184.93,4,2041.07,2039.45,2039.882,400,815953.0,4,2037.95,2039.76,2039.45,2041.07,0.0011346753041431357,0.0030777582668960837
2021-02-24 10:22:00,2021-02-24,10:22 AM,2040.65,2038.235,2038.601,157,320060.28,5,2038.52,2038.52,2038.52,100,203852.0,1,2038.52,2040.4,2038.52,2038.52,0.0009304239296197926,0.002408017611917221
2021-02-24 10:23:00,2021-02-24,10:23 AM,2045.72,2043.805,2045.148,410,838510.75,6,2045.72,2042.0,2044.133,1433,2929242.5,13,2043.805,2045.43,2042.04,2045.43,0.004144928133957482,0.005168116214263898
2021-02-24 10:24:00,2021-02-24,10:24 AM,2047.43,2046.31,2047.059,224,458541.21,5,2046.86,2046.717,2046.724,2200,4502793.0,3,2046.31,2047.43,2046.717,2046.86,0.005083207885674254,0.006442197005049552
2021-02-24 10:25:00,2021-02-24,10:25 AM,2050.59,2048.6,2049.568,380,778836.06,5,2050.59,2047.81,2048.992,3650,7478821.13,32,2048.6,2050.59,2047.97,2050.59,0.006315098988268463,0.007557447963560671
2021-02-24 10:26:00,2021-02-24,10:26 AM,2050.41,2049.16,2049.661,182,373038.335,4,2050.05,2049.09,2049.354,500,1024677.0,5,2049.16,2050.125,2049.33,2050.05,0.006360760954207507,0.007735455391682611
2021-02-24 10:27:00,2021-02-24,10:27 AM,2051.05,2051.05,2051.05,1,2051.05,1,2052.86,2050.89,2052.008,500,1026004.0,5,2051.05,2051.05,2050.89,2052.86,0.007042744510007963,0.009040515375760288
2021-02-24 10:28:00,2021-02-24,10:28 AM,2053.27,2051.28,2052.897,262,537859.05,8,2053.603,2050.75,2052.472,2611,5359005.48,20,2052.87,2052.905,2052.87,2050.75,0.007949600973336373,0.009268679593021991
2021-02-24 10:29:00,2021-02-24,10:29 AM,2050.36,2048.88,2050.345,101,207084.88,2,2050.79,2047.75,2049.357,1100,2254293.01,11,2050.36,2048.88,2049.76,2047.75,0.006696597348856387,0.007736930591363258
2021-02-24 10:30:00,2021-02-24,10:30 AM,2047.825,2043.73,2047.652,102,208860.555,3,2048.71,2046.3,2047.201,1000,2047201.5,10,2047.825,2043.73,2048.71,2046.775,0.005374364292146309,0.006676753754260241
2021-02-24 10:31:00,2021-02-24,10:31 AM,2047.68,2045.25,2046.535,223,456377.23,4,2047.68,2045.68,2046.539,1072,2193889.576,8,2045.31,2047.68,2045.68,2046.64,0.00482592971199583,0.00635122635808109
2021-02-24 10:32:00,2021-02-24,10:32 AM,2051.39,2048.155,2050.722,205,420397.935,5,2051.17,2051.17,2051.17,200,410234.0,2,2048.155,2051.39,2051.17,2051.17,0.006881700157018393,0.008628442931654504
2021-02-24 10:33:00,2021-02-24,10:33 AM,2052.55,2051.045,2051.475,7,14360.325,4,2052.926,2051.86,2052.63,360,738946.682,2,2052.55,2051.045,2052.926,2051.86,0.007251414784460794,0.009346373442865302
2021-02-24 10:34:00,2021-02-24,10:34 AM,2051.51,2051.35,2051.353,51,104619.01,2,2051.42,2051.37,2051.395,200,410279.0,2,2051.51,2051.35,2051.37,2051.42,0.007191514140970843,0.008739082907697215
2021-02-24 10:35:00,2021-02-24,10:35 AM,2050.945,2048.54,2050.859,107,219441.93,5,2050.945,2047.79,2048.929,500,1024464.5,3,2050.945,2049.965,2050.945,2047.79,0.006948965633724269,0.007526468770268648
2021-02-24 10:36:00,2021-02-24,10:36 AM,2049.04,2048.53,2048.867,301,616709.0,4,2049.04,2048.53,2048.802,400,819521.0,4,2049.0,2049.04,2048.61,2049.04,0.005970915782641327,0.007464018650457871
2021-02-24 10:37:00,2021-02-24,10:37 AM,2049.55,2047.61,2049.013,186,381116.51,5,2049.55,2047.64,2048.608,600,1229165.01,6,2047.79,2047.61,2048.55,2047.64,0.006042600159276801,0.0073686224044476915
2021-02-24 10:38:00,2021-02-24,10:38 AM,2048.2,2044.25,2046.472,462,945469.94,11,2047.335,2044.92,2045.997,1000,2045996.97,10,2045.38,2044.48,2045.845,2044.92,0.004794997412488635,0.0060847069491248
2021-02-24 10:39:00,2021-02-24,10:39 AM,2049.46,2045.99,2047.753,198,405455.05,3,2049.88,2045.315,2048.923,700,1434246.5,5,2045.99,2049.46,2045.315,2049.88,0.005423954169133899,0.007523518370907354
