,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-03-18 12:24:00,2021-03-18,12:24 PM,2064.73,2063.62,2063.784,129.0,266228.175,4.0,2064.63,2063.62,2064.318,600,1238591.0,6,2064.535,2064.73,2064.09,2064.63,0.00033493400442939717,0.003322995449289684
2021-03-18 12:25:00,2021-03-18,12:25 PM,2065.3,2065.3,2065.3,4.0,8261.2,1.0,2066.37,2065.8,2066.085,400,826434.0,3,2065.3,2065.3,2065.8,2066.37,0.001069753035854581,0.0041818126145513924
2021-03-18 12:26:00,2021-03-18,12:26 PM,2067.49,2067.4,2067.445,8.0,16539.56,2.0,2068.15,2066.63,2067.32,1005,2077656.85,7,2067.4,2067.49,2067.32,2068.15,0.002109454106043846,0.004782061170917224
2021-03-18 12:27:00,2021-03-18,12:27 PM,2068.74,2067.57,2067.611,201.0,415589.74,3.0,2067.64,2067.57,2067.605,200,413521.0,2,2067.64,2068.74,2067.64,2067.57,0.0021899158205665134,0.004920580068540023
2021-03-18 12:28:00,2021-03-18,12:28 PM,2068.77,2067.145,2068.739,69.0,142743.005,3.0,2067.57,2066.71,2067.355,400,826942.0,4,2068.67,2067.145,2067.57,2066.71,0.0027366677120227666,0.004799072263607681
2021-03-18 12:29:00,2021-03-18,12:29 PM,2067.2,2066.76,2067.186,101.0,208785.76,3.0,2067.16,2066.03,2066.316,2092,4322733.6288,10,2067.1,2066.76,2066.73,2066.03,0.001983914443023316,0.004294085826308763
2021-03-18 12:30:00,2021-03-18,12:30 PM,2066.55,2065.6,2066.406,164.0,338890.6,4.0,2066.55,2066.03,2066.365,1000,2066365.0,9,2065.6,2066.53,2066.15,2066.55,0.0016058413265907557,0.004317901356075492
2021-03-18 12:31:00,2021-03-18,12:31 PM,2066.0,2065.0,2065.99,101.0,208665.0,3.0,2065.795,2064.02,2064.498,1400,2890297.5,4,2066.0,2065.0,2065.595,2064.02,0.0014042023311600276,0.003410481068840891
2021-03-18 12:32:00,2021-03-18,12:32 PM,,,,0.0,0.0,0.0,2064.03,2064.03,2064.03,100,206403.0,1,,,2064.03,2064.03,,0.0031830184580076207
2021-03-18 12:33:00,2021-03-18,12:33 PM,2064.485,2064.14,2064.472,102.0,210576.15,3.0,2065.0,2064.6,2064.896,600,1238937.5,5,2064.14,2064.39,2065.0,2064.6,0.0006684138814878244,0.0036039214942932465
